Day,Adrien,Josiah,Ben,Marshall,Justin,Nicole,Alex
32,433,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,-1,-1,-1,-1
34,-1,-1,-1,-1,-1,-1,-1
35,116,35,47,-1,-1,-1,-1
36,-1,101,-1,-1,-1,-1,-1
37,100,61,247,-1,-1,-1,-1
38,159,78,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,-1
40,202,-1,176,-1,-1,-1,-1
41,98,-1,163,-1,-1,-1,-1
42,71,50,342,-1,-1,-1,-1
43,91,26,98,-1,-1,-1,-1
44,104,78,178,-1,-1,-1,-1
45,-1,-1,32,-1,-1,-1,-1
46,84,-1,42,-1,-1,-1,-1
47,86,-1,40,-1,-1,-1,-1
48,92,-1,-1,-1,-1,-1,-1
49,75,47,29,-1,-1,-1,-1
50,-1,-1,-1,-1,-1,-1,-1
51,82,41,98,-1,-1,-1,-1
52,-1,84,244,-1,-1,-1,-1
53,121,133,389,-1,-1,-1,-1
54,-1,-1,75,-1,-1,-1,-1
55,58,14,32,200,-1,-1,-1
56,63,76,63,132,-1,-1,-1
57,102,41,114,330,-1,-1,-1
58,-1,26,622,267,-1,-1,-1
59,69,52,51,109,46,-1,-1
60,-1,-1,36,200,-1,-1,-1
61,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,54,118,23,-1,-1
63,-1,-1,62,104,33,-1,-1
64,89,36,105,178,99,-1,-1
65,75,86,80,156,93,-1,-1
66,84,-1,52,-1,26,-1,-1
67,65,92,-1,-1,823,-1,-1
68,95,158,345,266,47,-1,-1
69,41,24,28,137,74,-1,-1
70,78,85,23,85,68,-1,-1
71,87,-1,-1,208,36,-1,-1
72,82,47,136,179,165,-1,-1
73,38,-1,30,103,29,-1,-1
74,61,-1,80,73,128,-1,-1
75,52,-1,54,85,-1,-1,-1
76,49,29,80,165,34,-1,-1
77,41,41,20,50,36,-1,-1
78,55,36,43,129,159,-1,-1
79,55,41,-1,75,-1,-1,-1
80,83,22,66,220,47,-1,-1
81,-1,15,128,254,15,-1,-1
82,75,-1,143,145,166,-1,-1
83,66,-1,38,66,182,-1,-1
84,48,26,16,74,29,-1,-1
85,51,14,97,43,150,-1,-1
86,-1,27,47,121,-1,-1,-1
87,-1,110,63,125,54,-1,-1
88,75,83,115,102,-1,-1,-1
89,100,37,45,174,-1,-1,-1
90,48,12,9,164,36,-1,-1
91,52,37,108,76,-1,-1,-1
92,47,17,14,-1,-1,-1,-1
93,41,15,100,100,13,-1,-1
94,-1,328,-1,95,316,-1,-1
95,151,103,89,179,47,-1,-1
96,93,188,170,251,316,-1,-1
97,37,15,46,44,23,-1,-1
98,47,27,29,132,28,-1,-1
99,86,17,19,72,-1,-1,-1
100,134,100,329,134,118,-1,-1
101,39,96,19,82,-1,-1,-1
102,107,331,-1,178,207,-1,-1
103,121,-1,-1,184,81,-1,-1
104,34,16,51,55,6,-1,-1
105,36,43,137,68,24,-1,-1
106,105,21,24,81,14,-1,-1
107,60,46,122,99,87,-1,-1
108,56,22,128,-1,33,-1,-1
109,64,-1,52,-1,-1,-1,-1
110,69,32,164,203,-1,-1,-1
111,30,12,18,40,-1,-1,-1
112,40,57,15,-1,39,-1,-1
113,51,80,68,-1,86,-1,-1
114,59,22,-1,-1,-1,-1,-1
115,103,-1,60,152,23,-1,-1
116,82,-1,92,106,-1,-1,-1
117,-1,68,36,-1,-1,-1,-1
118,-1,-1,19,-1,-1,-1,-1
119,-1,-1,63,-1,-1,-1,-1
120,-1,-1,63,-1,-1,-1,-1
121,-1,-1,-1,-1,-1,-1,-1
122,-1,70,-1,-1,-1,-1,-1
123,-1,28,35,-1,-1,-1,-1
124,106,90,266,-1,-1,-1,-1
125,47,-1,-1,52,-1,-1,-1
126,-1,18,32,63,-1,-1,-1
127,43,33,44,86,-1,-1,-1
128,76,103,171,69,-1,-1,-1
129,52,53,53,114,-1,-1,-1
130,110,215,682,123,-1,-1,-1
131,322,100,278,111,-1,-1,-1
132,41,18,15,67,-1,-1,-1
133,36,11,24,65,-1,-1,-1
134,89,49,94,91,-1,-1,-1
135,44,56,130,63,-1,-1,-1
136,66,62,16,73,-1,-1,-1
137,76,175,33,127,-1,-1,-1
138,109,78,87,154,-1,-1,-1
139,25,9,16,40,-1,-1,-1
140,59,15,25,70,-1,-1,-1
141,77,38,73,66,-1,-1,-1
142,57,30,29,65,-1,-1,-1
143,52,49,24,63,-1,-1,-1
144,67,74,-1,87,-1,-1,-1
145,79,46,45,96,-1,-1,-1
146,37,17,31,109,-1,-1,-1
147,-1,30,31,89,-1,-1,-1
148,-1,28,13,75,-1,-1,-1
149,-1,38,19,77,-1,-1,-1
150,102,37,196,106,-1,-1,-1
151,55,15,104,90,-1,-1,-1
152,127,393,-1,-1,-1,-1,-1
153,-1,16,9,37,-1,-1,-1
154,37,25,56,51,-1,-1,-1
155,67,18,23,131,-1,-1,-1
156,53,156,111,158,-1,-1,-1
157,-1,45,40,103,-1,-1,-1
158,115,62,240,144,-1,-1,-1
159,152,228,82,214,-1,-1,-1
160,30,20,-1,66,-1,-1,-1
161,42,21,27,62,-1,-1,-1
162,29,25,23,58,-1,-1,-1
163,57,38,108,86,-1,-1,-1
164,77,28,40,124,-1,119,-1
165,41,21,-1,-1,-1,71,-1
166,73,32,52,-1,-1,-1,-1
167,34,50,82,93,-1,128,-1
168,34,16,17,48,-1,47,-1
169,39,22,-1,-1,-1,-1,-1
170,74,18,123,185,-1,118,-1
171,37,12,-1,104,-1,49,-1
172,85,46,-1,-1,-1,-1,-1
173,148,74,124,-1,-1,-1,-1
174,16,13,7,104,-1,33,-1
175,34,19,16,67,-1,30,-1
176,52,70,91,96,-1,-1,-1
177,58,-1,71,89,-1,-1,-1
178,81,-1,73,-1,-1,-1,-1
179,97,-1,26,-1,-1,-1,-1
180,111,72,106,-1,-1,29,-1
181,-1,11,40,62,-1,27,-1
182,41,54,212,59,-1,-1,-1
183,63,145,17,60,-1,-1,-1
184,73,32,35,127,-1,-1,-1
185,31,-1,87,118,-1,-1,-1
186,99,99,-1,-1,-1,-1,148
187,158,158,437,-1,-1,-1,98
188,9,9,64,49,-1,26,46
189,30,30,-1,66,-1,-1,50
190,40,40,28,101,-1,112,54
191,-1,30,43,72,-1,-1,37
192,39,15,65,92,-1,-1,-1
193,42,54,55,-1,-1,-1,-1
194,197,197,166,-1,-1,755,-1
195,20,29,36,52,-1,-1,36
196,-1,10,-1,72,-1,-1,14
